district,Accepted Date,Successfully Completed Date,Diversion Case Type
15,2020-09-09,2020-12-03,Juvenile
15,2021-04-09,2021-04-09,Juvenile
15,2020-08-05,2021-04-09,Juvenile
15,2020-10-14,2021-04-09,Juvenile
15,2020-11-09,2021-05-03,Juvenile
15,2020-08-05,2021-07-06,Juvenile
15,2020-10-14,2021-07-29,Juvenile
15,2020-10-08,2021-08-05,Juvenile
15,2021-07-06,2021-09-14,Juvenile
15,2020-09-21,2021-10-05,Juvenile
15,2020-08-20,2021-10-05,Juvenile
15,2020-10-08,2021-10-11,Juvenile
15,2021-07-06,2021-10-15,Juvenile
15,2021-07-06,2021-11-15,Juvenile
15,2021-10-15,2021-12-28,Juvenile
15,2021-12-28,2022-07-21,Juvenile
15,2021-09-08,2022-07-21,Juvenile
15,2021-07-28,2022-07-21,Juvenile
15,2022-11-01,2023-01-10,Juvenile
15,2022-01-11,2023-01-23,Juvenile
15,2023-03-07,2023-03-13,Juvenile
15,2022-11-15,2023-04-28,Juvenile
15,2022-07-27,2023-04-28,Juvenile
15,2022-11-15,2023-05-10,Juvenile
15,2022-07-25,2023-05-16,Juvenile
15,2020-12-16,2023-05-18,Juvenile
15,2023-02-09,2023-09-18,Juvenile
15,2023-04-03,2023-10-18,Juvenile
15,2023-04-20,2023-11-07,Juvenile
15,2022-12-14,2023-12-19,Juvenile
15,2023-08-08,2024-02-09,Juvenile
15,2022-10-06,2024-02-22,Juvenile
15,2023-03-09,2024-02-22,Juvenile
15,2023-03-03,2024-03-06,Juvenile
15,2023-10-11,2024-03-15,Juvenile
15,2021-11-02,2024-03-15,Juvenile
15,2023-11-14,2024-04-23,Juvenile
15,2023-12-18,2024-05-14,Juvenile
15,2023-08-01,2024-06-25,Juvenile
15,2023-08-29,2024-06-27,Juvenile
15,2023-07-13,2024-07-19,Juvenile
