District,Diversion Case Type,Quarter,Count
15,Juvenile,2020 Q3,5
15,Juvenile,2020 Q4,7
15,Juvenile,2021 Q1,1
15,Juvenile,2021 Q2,1
15,Juvenile,2021 Q3,5
15,Juvenile,2021 Q4,4
15,Juvenile,2022 Q1,1
15,Juvenile,2022 Q3,3
15,Juvenile,2022 Q4,7
15,Juvenile,2023 Q1,7
15,Juvenile,2023 Q2,3
15,Juvenile,2023 Q3,6
15,Juvenile,2023 Q4,6
