Quarter,Total Number of Cases Accepted,Adult,Juvenile,District
2020 Q3,5,0,5,15
2020 Q4,7,0,7,15
2021 Q1,1,0,1,15
2021 Q2,1,0,1,15
2021 Q3,5,0,5,15
2021 Q4,4,0,4,15
2022 Q1,1,0,1,15
2022 Q2,0,0,0,15
2022 Q3,3,0,3,15
2022 Q4,7,0,7,15
2023 Q1,7,0,7,15
2023 Q2,3,0,3,15
2023 Q3,6,0,6,15
2023 Q4,6,0,6,15
2024 Q1,2,0,2,15
2024 Q2,2,0,2,15
