District,Diversion Case Type,Quarter,Count
14,Juvenile,2022 Q4,14
14,Juvenile,2023 Q1,33
14,Juvenile,2023 Q2,27
14,Juvenile,2023 Q3,26
14,Juvenile,2023 Q4,11
