district,Accepted Date,Successfully Completed Date,Diversion Case Type
14,2023-03-23,2023-07-24,Juvenile
14,2023-03-13,2023-07-24,Juvenile
14,2022-11-21,2023-07-24,Juvenile
14,2022-12-30,2023-07-24,Juvenile
14,2023-04-27,2023-07-24,Juvenile
14,2023-03-13,2023-07-24,Juvenile
14,2023-05-17,2023-07-24,Juvenile
14,2023-05-17,2023-07-27,Juvenile
14,2023-03-07,2023-09-14,Juvenile
14,2023-02-20,2023-12-05,Juvenile
14,2023-08-14,2023-12-19,Juvenile
14,2023-04-11,2023-12-19,Juvenile
14,2023-08-21,2023-12-19,Juvenile
14,2023-11-02,2023-12-28,Juvenile
14,2023-05-30,2023-12-28,Juvenile
14,2023-05-30,2023-12-28,Juvenile
14,2023-07-20,2023-12-28,Juvenile
14,2023-03-07,2024-01-04,Juvenile
14,2023-03-02,2024-01-04,Juvenile
14,2023-04-12,2024-01-04,Juvenile
14,2023-05-15,2024-01-04,Juvenile
14,2023-03-15,2024-01-04,Juvenile
14,2023-03-06,2024-01-04,Juvenile
14,2023-07-19,2024-02-26,Juvenile
14,2023-02-10,2024-03-06,Juvenile
14,2023-03-23,2024-03-06,Juvenile
14,2023-01-23,2024-03-06,Juvenile
14,2023-01-31,2024-03-12,Juvenile
14,2023-01-10,2024-03-12,Juvenile
14,2022-11-22,2024-03-12,Juvenile
14,2023-07-11,2024-03-13,Juvenile
14,2023-07-25,2024-03-13,Juvenile
14,2023-04-03,2024-03-21,Juvenile
14,2023-05-02,2024-03-21,Juvenile
14,2023-03-06,2024-03-21,Juvenile
14,2023-10-09,2024-05-01,Juvenile
14,2023-08-10,2024-05-01,Juvenile
14,2023-06-08,2024-05-09,Juvenile
14,2023-05-15,2024-05-09,Juvenile
14,2023-06-01,2024-05-09,Juvenile
14,2023-09-18,2024-05-09,Juvenile
14,2023-07-05,2024-06-03,Juvenile
14,2023-07-11,2024-06-03,Juvenile
14,2023-08-21,2024-06-11,Juvenile
14,2023-10-24,2024-06-11,Juvenile
14,2023-08-21,2024-06-11,Juvenile
14,2023-08-21,2024-06-11,Juvenile
14,2023-09-05,2024-06-11,Juvenile
14,2023-10-10,2024-06-11,Juvenile
14,2023-10-17,2024-06-12,Juvenile
14,2023-05-31,2024-07-09,Juvenile
14,2023-07-25,2024-07-24,Juvenile
14,2023-03-27,2024-07-24,Juvenile
