district,Accepted Date,Successfully Completed Date,Diversion Case Type
12,2020-06-22,2022-08-23,Juvenile
12,2020-08-27,2022-08-23,Juvenile
12,2020-09-10,2022-09-20,Juvenile
12,2021-03-26,2022-09-20,Juvenile
12,2021-12-09,2022-09-20,Juvenile
12,2020-02-11,2022-10-11,Juvenile
12,2020-08-18,2022-11-04,Juvenile
12,2022-12-02,2022-12-13,Adult
12,2022-12-02,2023-02-02,Adult
12,2023-02-01,2023-02-07,Adult
12,2023-02-01,2023-02-07,Adult
12,2023-01-06,2023-02-21,Adult
12,2023-01-06,2023-02-21,Adult
12,2023-02-27,2023-03-07,Adult
12,2023-02-27,2023-03-07,Adult
12,2023-02-27,2023-03-07,Adult
12,2023-01-05,2023-03-07,Adult
12,2023-01-05,2023-03-07,Adult
12,2023-02-27,2023-03-07,Adult
12,2023-01-10,2023-03-14,Juvenile
12,2023-01-06,2023-03-14,Adult
12,2023-02-09,2023-03-14,Juvenile
12,2023-02-02,2023-03-14,Adult
12,2023-01-06,2023-03-14,Adult
12,2023-01-10,2023-03-14,Juvenile
12,2023-01-06,2023-03-14,Adult
12,2023-02-09,2023-03-14,Juvenile
12,2023-01-09,2023-03-14,Juvenile
12,2023-02-09,2023-03-14,Adult
12,2023-02-08,2023-03-14,Juvenile
12,2023-02-08,2023-03-14,Juvenile
12,2023-01-09,2023-03-14,Juvenile
12,2023-02-09,2023-03-14,Adult
12,2023-02-02,2023-03-14,Adult
12,2023-01-06,2023-03-14,Adult
12,2023-01-30,2023-03-21,Adult
12,2022-10-31,2023-03-21,Juvenile
12,2023-01-18,2023-03-21,Juvenile
12,2023-01-18,2023-03-21,Juvenile
12,2023-01-30,2023-03-21,Adult
12,2023-02-28,2023-04-04,Adult
12,2023-02-28,2023-04-04,Adult
12,2023-01-26,2023-04-11,Adult
12,2022-11-22,2023-04-11,Juvenile
12,2023-01-26,2023-04-11,Adult
12,2023-03-31,2023-04-25,Adult
12,2023-03-09,2023-04-25,Juvenile
12,2022-12-02,2023-04-25,Adult
12,2023-03-09,2023-04-25,Juvenile
12,2022-12-02,2023-04-25,Adult
12,2023-03-07,2023-04-25,Adult
12,2023-03-31,2023-04-25,Adult
12,2023-03-07,2023-04-25,Adult
12,2023-01-17,2023-05-02,Adult
12,2023-03-10,2023-05-02,Juvenile
12,2023-01-17,2023-05-02,Adult
12,2023-03-10,2023-05-02,Juvenile
12,2023-03-29,2023-05-09,Adult
12,2023-03-29,2023-05-09,Adult
12,2023-01-30,2023-06-06,Adult
12,2023-03-16,2023-06-06,Adult
12,2023-02-08,2023-06-06,Adult
12,2023-03-16,2023-06-06,Adult
12,2023-03-16,2023-06-06,Adult
12,2023-03-22,2023-06-06,Juvenile
12,2023-01-30,2023-06-06,Adult
12,2023-03-22,2023-06-06,Juvenile
12,2023-02-08,2023-06-06,Adult
12,2023-03-16,2023-06-06,Adult
12,2023-01-31,2023-06-21,Adult
12,2023-04-06,2023-06-21,Adult
12,2023-01-31,2023-06-21,Adult
12,2023-04-06,2023-06-21,Adult
12,2023-01-11,2023-07-11,Adult
12,2023-04-24,2023-07-11,Juvenile
12,2023-05-16,2023-07-11,Adult
12,2023-05-24,2023-07-11,Adult
12,2023-04-24,2023-07-11,Juvenile
12,2023-05-24,2023-07-11,Adult
12,2023-05-16,2023-07-11,Adult
12,2023-01-11,2023-07-11,Adult
12,2023-07-06,2023-07-25,Adult
12,2023-07-06,2023-07-25,Adult
12,2023-07-11,2023-07-25,Adult
12,2023-07-11,2023-07-25,Adult
12,2023-07-07,2023-08-01,Adult
12,2023-06-22,2023-08-01,Adult
12,2023-07-07,2023-08-01,Adult
12,2023-06-22,2023-08-01,Adult
12,2023-04-14,2023-08-02,Adult
12,2023-04-14,2023-08-02,Adult
12,2023-04-11,2023-08-08,Adult
12,2023-05-19,2023-08-08,Juvenile
12,2023-06-09,2023-08-08,Adult
12,2023-04-11,2023-08-08,Adult
12,2023-05-19,2023-08-08,Juvenile
12,2023-06-09,2023-08-08,Adult
12,2023-07-05,2023-08-15,Juvenile
12,2023-07-06,2023-08-15,Adult
12,2023-06-12,2023-08-15,Juvenile
12,2023-07-06,2023-08-15,Adult
12,2023-06-20,2023-08-15,Adult
12,2023-02-10,2023-08-15,Adult
12,2023-06-12,2023-08-15,Juvenile
12,2023-06-20,2023-08-15,Adult
12,2023-07-06,2023-08-15,Adult
12,2023-02-10,2023-08-15,Adult
12,2023-07-06,2023-08-15,Adult
12,2023-07-05,2023-08-15,Juvenile
12,2023-04-10,2023-08-22,Adult
12,2023-04-10,2023-08-22,Adult
12,2023-07-13,2023-08-29,Adult
12,2023-03-03,2023-08-29,Adult
12,2023-06-26,2023-08-29,Adult
12,2023-07-13,2023-08-29,Adult
12,2023-03-03,2023-08-29,Adult
12,2023-06-26,2023-08-29,Adult
12,2023-05-23,2023-08-30,Adult
12,2023-06-23,2023-08-30,Adult
12,2023-06-23,2023-08-30,Adult
12,2023-05-23,2023-08-30,Adult
12,2023-05-26,2023-09-05,Adult
12,2023-04-28,2023-09-05,Adult
12,2023-04-28,2023-09-05,Adult
12,2023-04-28,2023-09-05,Adult
12,2023-04-28,2023-09-05,Adult
12,2023-04-28,2023-09-05,Adult
12,2023-06-12,2023-09-05,Juvenile
12,2023-04-28,2023-09-05,Adult
12,2023-05-26,2023-09-05,Adult
12,2023-06-12,2023-09-05,Juvenile
12,2023-07-13,2023-09-19,Adult
12,2023-03-31,2023-09-19,Juvenile
12,2023-05-09,2023-09-19,Adult
12,2023-05-09,2023-09-19,Adult
12,2023-07-13,2023-09-19,Adult
12,2023-03-31,2023-09-19,Juvenile
12,2023-07-20,2023-10-10,Juvenile
12,2023-07-20,2023-10-10,Juvenile
12,2023-08-22,2023-10-24,Adult
