district,Accepted Date,Successfully Completed Date,Diversion Case Type
16,2020-09-17,2020-12-16,Juvenile
16,2020-09-17,2020-12-16,Juvenile
16,2021-02-04,2021-02-04,Juvenile
16,2020-09-17,2021-02-04,Juvenile
16,2021-02-04,2021-02-04,Juvenile
16,2020-09-16,2021-02-10,Juvenile
16,2020-09-17,2021-02-10,Juvenile
16,2021-02-04,2021-02-17,Juvenile
16,2020-09-17,2021-02-19,Juvenile
16,2020-09-17,2021-02-19,Juvenile
16,2021-02-04,2021-02-19,Juvenile
16,2020-09-17,2021-02-19,Juvenile
16,2020-09-21,2021-03-17,Juvenile
16,2021-03-17,2021-03-17,Juvenile
16,2021-02-04,2021-03-17,Juvenile
16,2021-01-12,2021-04-19,Juvenile
16,2021-01-12,2021-04-19,Juvenile
16,2021-01-12,2021-04-26,Juvenile
16,2020-11-19,2021-05-14,Juvenile
16,2020-09-17,2021-05-14,Juvenile
16,2021-02-04,2021-07-12,Juvenile
16,2021-02-04,2021-07-12,Juvenile
16,2021-02-10,2021-08-04,Juvenile
16,2021-02-10,2021-08-04,Juvenile
16,2021-02-10,2021-08-04,Juvenile
16,2022-01-20,2022-08-24,Juvenile
16,2021-05-07,2022-09-19,Juvenile
16,2022-03-04,2022-09-19,Juvenile
16,2022-02-02,2022-09-19,Juvenile
16,2022-01-05,2022-09-19,Juvenile
16,2022-02-11,2022-09-19,Juvenile
16,2021-12-02,2022-09-19,Juvenile
16,2022-01-27,2022-09-19,Juvenile
16,2022-06-10,2023-01-04,Juvenile
16,2021-07-16,2023-02-13,Juvenile
16,2022-07-08,2023-02-13,Juvenile
16,2021-07-16,2023-02-13,Juvenile
16,2021-11-05,2023-02-13,Juvenile
16,2022-07-28,2023-02-13,Juvenile
16,2021-11-22,2023-02-13,Juvenile
16,2021-10-25,2023-02-13,Juvenile
16,2021-10-20,2023-02-13,Juvenile
16,2021-06-16,2023-06-22,Juvenile
16,2021-02-11,2023-06-22,Juvenile
16,2021-02-19,2023-06-22,Juvenile
16,2021-02-19,2023-06-22,Juvenile
16,2021-09-21,2023-06-22,Juvenile
16,2021-05-14,2023-06-22,Juvenile
16,2021-12-02,2023-06-22,Juvenile
16,2023-01-05,2023-07-05,Juvenile
16,2023-01-11,2023-07-11,Juvenile
16,2023-01-30,2023-07-20,Juvenile
16,2023-01-30,2023-07-20,Juvenile
16,2023-01-12,2023-07-21,Juvenile
16,2023-02-02,2023-08-30,Juvenile
16,2022-08-16,2023-08-30,Juvenile
16,2023-02-17,2023-08-30,Juvenile
16,2022-09-21,2023-09-21,Juvenile
16,2023-04-05,2023-11-06,Juvenile
16,2023-05-08,2023-11-08,Juvenile
16,2023-07-20,2024-01-19,Juvenile
16,2023-07-06,2024-01-19,Juvenile
16,2023-07-20,2024-01-19,Juvenile
16,2023-08-04,2024-01-26,Juvenile
16,2023-09-07,2024-03-07,Juvenile
16,2023-09-13,2024-03-13,Juvenile
16,2023-09-19,2024-03-19,Juvenile
16,2023-01-11,2024-03-21,Juvenile
16,2023-09-25,2024-04-01,Juvenile
16,2023-10-05,2024-04-05,Juvenile
16,2023-10-11,2024-04-12,Juvenile
16,2023-10-23,2024-04-23,Juvenile
16,2023-10-25,2024-04-26,Juvenile
16,2023-10-25,2024-04-30,Juvenile
16,2023-08-17,2024-05-16,Juvenile
16,2023-05-17,2024-05-20,Juvenile
16,2023-12-12,2024-06-11,Juvenile
