district,Accepted Date,Successfully Completed Date,Diversion Case Type
21,2020-10-29,2020-11-04,Juvenile
21,2020-08-18,2020-11-09,Juvenile
21,2020-11-02,2020-11-26,Juvenile
21,2021-01-18,2021-01-18,Juvenile
21,2020-09-21,2021-01-18,Juvenile
21,2020-10-15,2021-02-11,Juvenile
21,2020-10-23,2021-02-17,Juvenile
21,2020-12-17,2021-02-17,Juvenile
21,2021-01-27,2021-02-22,Juvenile
21,2021-01-13,2021-02-24,Juvenile
21,2021-01-28,2021-02-24,Juvenile
21,2020-10-29,2021-02-24,Juvenile
21,2021-01-28,2021-02-24,Juvenile
21,2021-01-18,2021-02-24,Juvenile
21,2020-11-17,2021-02-24,Juvenile
21,2020-12-01,2021-02-24,Juvenile
21,2020-08-28,2021-02-24,Juvenile
21,2020-09-08,2021-03-03,Juvenile
21,2020-10-29,2021-03-04,Juvenile
21,2021-01-13,2021-03-04,Juvenile
21,2021-01-18,2021-03-24,Juvenile
21,2020-10-01,2021-03-24,Juvenile
21,2021-02-19,2021-03-29,Juvenile
21,2021-01-18,2021-03-29,Juvenile
21,2021-03-24,2021-04-30,Juvenile
21,2021-02-10,2021-05-05,Juvenile
21,2021-05-05,2021-05-24,Juvenile
21,2021-03-04,2021-05-24,Juvenile
21,2020-10-15,2021-06-21,Juvenile
21,2020-08-12,2021-06-21,Juvenile
21,2020-11-04,2021-06-21,Juvenile
21,2020-10-23,2021-06-21,Juvenile
21,2020-10-15,2021-06-28,Juvenile
21,2021-03-15,2021-06-28,Juvenile
21,2020-10-15,2021-06-28,Juvenile
21,2021-02-18,2021-06-30,Juvenile
21,2021-05-05,2021-06-30,Juvenile
21,2021-07-08,2021-07-08,Juvenile
21,2020-10-16,2021-07-12,Juvenile
21,2021-06-25,2021-07-12,Juvenile
21,2021-05-18,2021-07-14,Juvenile
21,2021-01-27,2021-07-14,Juvenile
21,2021-02-18,2021-07-21,Juvenile
21,2021-05-12,2021-07-21,Juvenile
21,2021-04-06,2021-07-21,Juvenile
21,2021-02-08,2021-07-21,Juvenile
21,2021-06-21,2021-07-23,Juvenile
21,2021-02-08,2021-07-26,Juvenile
21,2021-05-05,2021-07-26,Juvenile
21,2021-05-04,2021-07-28,Juvenile
21,2021-05-04,2021-07-28,Juvenile
21,2020-12-02,2021-07-28,Juvenile
21,2020-08-28,2021-07-28,Juvenile
21,2020-12-01,2021-07-29,Juvenile
21,2021-06-21,2021-07-29,Juvenile
21,2021-02-04,2021-07-29,Juvenile
21,2021-07-07,2021-08-02,Juvenile
21,2021-06-03,2021-08-09,Juvenile
21,2021-05-17,2021-08-09,Juvenile
21,2020-09-08,2021-08-12,Juvenile
21,2021-06-03,2021-08-12,Juvenile
21,2021-05-17,2021-08-12,Juvenile
21,2021-03-09,2021-08-24,Juvenile
21,2021-08-11,2021-08-26,Juvenile
21,2021-01-28,2021-08-27,Juvenile
21,2021-04-21,2021-08-27,Juvenile
21,2021-03-26,2021-08-27,Juvenile
21,2021-03-16,2021-08-27,Juvenile
21,2021-08-26,2021-08-31,Juvenile
21,2021-08-26,2021-09-03,Juvenile
21,2021-03-04,2021-09-03,Juvenile
21,2021-08-19,2021-09-10,Juvenile
21,2021-09-03,2021-09-15,Juvenile
21,2021-08-20,2021-09-28,Juvenile
21,2021-08-23,2021-10-05,Juvenile
21,2021-08-27,2021-10-06,Juvenile
21,2021-08-26,2021-10-12,Juvenile
21,2021-09-07,2021-10-13,Juvenile
21,2021-08-23,2021-10-15,Juvenile
21,2021-09-02,2021-10-18,Juvenile
21,2021-06-21,2021-10-22,Juvenile
21,2021-11-03,2021-11-10,Juvenile
21,2021-10-27,2021-11-18,Juvenile
21,2021-11-11,2021-11-19,Juvenile
21,2021-11-02,2021-11-19,Juvenile
21,2021-10-26,2021-11-19,Juvenile
21,2021-08-24,2021-11-19,Juvenile
21,2021-08-27,2021-11-22,Juvenile
21,2021-09-27,2021-11-23,Juvenile
21,2021-11-23,2021-11-23,Juvenile
21,2021-08-24,2021-11-23,Juvenile
21,2021-11-19,2021-12-06,Juvenile
21,2021-01-28,2021-12-10,Juvenile
21,2021-01-28,2021-12-10,Juvenile
21,2021-08-16,2021-12-22,Juvenile
21,2021-09-15,2021-12-22,Juvenile
21,2021-06-18,2021-12-28,Juvenile
21,2020-05-08,2021-12-28,Juvenile
21,2021-08-24,2022-01-03,Juvenile
21,2021-06-22,2022-01-03,Juvenile
21,2021-10-05,2022-01-04,Juvenile
21,2021-11-11,2022-01-06,Juvenile
21,2021-10-06,2022-01-10,Juvenile
21,2021-05-04,2022-01-13,Juvenile
21,2021-11-08,2022-01-13,Juvenile
21,2021-07-26,2022-01-13,Juvenile
21,2021-10-06,2022-01-13,Juvenile
21,2021-03-10,2022-01-14,Juvenile
21,2020-09-08,2022-01-18,Juvenile
21,2021-10-22,2022-01-25,Juvenile
21,2021-10-21,2022-01-25,Juvenile
21,2022-01-10,2022-01-26,Juvenile
21,2021-10-27,2022-01-26,Juvenile
21,2021-08-27,2022-01-31,Juvenile
21,2021-10-26,2022-02-01,Juvenile
21,2021-11-12,2022-02-07,Juvenile
21,2021-09-16,2022-02-24,Juvenile
21,2021-10-20,2022-03-02,Juvenile
21,2021-11-24,2022-03-02,Juvenile
21,2021-08-10,2022-03-02,Juvenile
21,2022-02-01,2022-03-04,Juvenile
21,2021-11-01,2022-03-07,Juvenile
21,2021-12-08,2022-03-09,Juvenile
21,2021-11-04,2022-03-10,Juvenile
21,2021-11-26,2022-03-21,Juvenile
21,2021-07-28,2022-03-21,Juvenile
21,2021-08-12,2022-03-21,Juvenile
21,2021-10-29,2022-03-21,Juvenile
21,2022-02-01,2022-03-22,Juvenile
21,2021-12-16,2022-04-06,Juvenile
21,2021-12-13,2022-04-06,Juvenile
21,2021-12-08,2022-04-07,Juvenile
21,2021-08-04,2022-04-19,Juvenile
21,2021-08-04,2022-04-19,Juvenile
21,2021-10-07,2022-04-21,Juvenile
21,2021-07-26,2022-04-21,Juvenile
21,2022-02-17,2022-04-21,Juvenile
21,2022-02-23,2022-04-25,Juvenile
21,2022-03-11,2022-04-25,Juvenile
21,2021-12-15,2022-04-27,Juvenile
21,2022-01-03,2022-04-28,Juvenile
21,2022-02-24,2022-04-28,Juvenile
21,2021-11-03,2022-05-02,Juvenile
21,2021-10-14,2022-05-03,Juvenile
21,2022-01-31,2022-05-03,Juvenile
21,2021-12-13,2022-05-03,Juvenile
21,2022-02-24,2022-05-04,Juvenile
21,2022-03-08,2022-05-04,Juvenile
21,2022-02-10,2022-05-04,Juvenile
21,2022-03-31,2022-05-05,Juvenile
21,2021-11-23,2022-05-05,Juvenile
21,2021-11-30,2022-05-10,Juvenile
21,2022-02-22,2022-05-10,Juvenile
