District,Diversion Case Type,Year,Not Successful,Open,Successful
01,Juvenile,2019,0,0,5
01,Juvenile,2020,15,9,120
01,Juvenile,2021,4,22,88
01,Juvenile,2022,16,101,160
01,Juvenile,2023,14,83,174
