Quarter,Count,District
2019 Q2,1,01
2019 Q3,3,01
2019 Q4,1,01
2020 Q1,4,01
2020 Q2,11,01
2020 Q3,86,01
2020 Q4,42,01
2021 Q1,25,01
2021 Q2,22,01
2021 Q3,28,01
2021 Q4,35,01
2022 Q1,68,01
2022 Q2,64,01
2022 Q3,78,01
2022 Q4,56,01
2023 Q1,68,01
2023 Q2,94,01
2023 Q3,46,01
2023 Q4,61,01
2024 Q1,2,01
