district,Accepted Date,Successfully Completed Date,Diversion Case Type
01,2023-01-05,2023-01-13,Juvenile
01,2023-01-13,2023-01-25,Ad. Recovery
01,2023-01-09,2023-02-01,Ad. Recovery
01,2023-02-01,2023-02-01,Adult
01,2023-01-13,2023-02-06,Ad. Recovery
01,2023-01-03,2023-02-06,Adult
01,2023-01-25,2023-02-06,Ad. Recovery
01,2023-02-06,2023-02-06,Ad. Recovery
01,2023-01-13,2023-02-16,Ad. Recovery
01,2023-01-06,2023-02-21,Adult
01,2023-01-26,2023-02-23,Ad. Recovery
01,2023-01-27,2023-02-24,Adult
01,2023-01-17,2023-02-24,Adult
01,2023-02-02,2023-03-03,Ad. Recovery
01,2023-01-10,2023-03-13,Juvenile
01,2023-02-02,2023-03-15,Ad. Recovery
01,2023-03-06,2023-03-15,Ad. Recovery
01,2023-03-06,2023-03-15,Ad. Recovery
01,2023-01-10,2023-03-16,Ad. Recovery
01,2023-01-10,2023-03-16,Adult
01,2023-02-28,2023-03-16,Ad. Recovery
01,2023-01-13,2023-03-16,Ad. Recovery
01,2023-03-07,2023-03-16,Ad. Recovery
01,2023-01-10,2023-03-17,Ad. Recovery
01,2023-03-02,2023-03-17,Ad. Recovery
01,2023-01-26,2023-03-17,Ad. Recovery
01,2023-01-26,2023-03-17,Ad. Recovery
01,2023-02-01,2023-03-20,Juvenile
01,2023-01-19,2023-03-20,Juvenile
01,2023-01-19,2023-03-20,Juvenile
01,2023-01-12,2023-03-20,Adult
01,2023-01-24,2023-03-24,Adult
01,2023-02-17,2023-03-27,Adult
01,2023-03-17,2023-03-29,Juvenile
01,2023-03-03,2023-03-29,Adult
01,2023-02-27,2023-03-30,Adult
01,2023-02-03,2023-03-30,Ad. Recovery
01,2023-01-26,2023-04-04,Ad. Recovery
01,2023-03-17,2023-04-04,Ad. Recovery
01,2023-02-08,2023-04-04,Ad. Recovery
01,2023-03-02,2023-04-04,Ad. Recovery
01,2023-02-01,2023-04-05,Juvenile
01,2023-02-01,2023-04-05,Juvenile
01,2023-01-11,2023-04-07,Adult
01,2023-03-07,2023-04-07,Adult
01,2023-02-08,2023-04-07,Juvenile
01,2023-02-13,2023-04-07,Adult
01,2023-02-01,2023-04-10,Juvenile
01,2023-03-15,2023-04-11,Ad. Recovery
01,2023-02-02,2023-04-11,Juvenile
01,2023-03-23,2023-04-11,Ad. Recovery
01,2023-02-02,2023-04-11,Juvenile
01,2023-03-15,2023-04-11,Ad. Recovery
01,2023-03-23,2023-04-11,Ad. Recovery
01,2023-03-21,2023-04-12,Juvenile
01,2023-03-03,2023-04-13,Adult
01,2023-02-15,2023-04-13,Ad. Recovery
01,2023-02-03,2023-04-14,Juvenile
01,2023-04-17,2023-04-17,Adult
01,2023-04-17,2023-04-17,Adult
01,2023-03-16,2023-04-20,Ad. Recovery
01,2023-03-14,2023-04-21,Ad. Recovery
01,2023-03-16,2023-04-21,Ad. Recovery
01,2023-03-15,2023-04-21,Ad. Recovery
01,2023-03-15,2023-04-21,Ad. Recovery
01,2023-03-30,2023-04-24,Ad. Recovery
01,2023-01-31,2023-04-26,Ad. Recovery
01,2023-03-02,2023-04-27,Juvenile
01,2023-04-12,2023-05-01,Ad. Recovery
01,2023-03-31,2023-05-01,Ad. Recovery
01,2023-03-27,2023-05-01,Ad. Recovery
01,2023-02-16,2023-05-01,Juvenile
01,2023-04-11,2023-05-01,Ad. Recovery
01,2023-03-27,2023-05-01,Ad. Recovery
01,2023-04-20,2023-05-01,Ad. Recovery
01,2023-04-25,2023-05-03,Juvenile
01,2023-01-03,2023-05-04,Adult
01,2023-03-17,2023-05-08,Juvenile
01,2023-02-01,2023-05-09,Ad. Recovery
01,2023-03-16,2023-05-10,Ad. Recovery
01,2023-04-25,2023-05-10,Juvenile
01,2023-04-10,2023-05-11,Juvenile
01,2023-01-12,2023-05-11,Juvenile
01,2023-04-04,2023-05-12,Ad. Recovery
01,2023-04-06,2023-05-12,Ad. Recovery
01,2023-03-21,2023-05-12,Ad. Recovery
01,2023-02-14,2023-05-12,Adult
01,2023-04-04,2023-05-12,Ad. Recovery
01,2023-01-27,2023-05-12,Ad. Recovery
01,2023-04-06,2023-05-12,Ad. Recovery
01,2023-04-04,2023-05-12,Ad. Recovery
01,2023-04-06,2023-05-12,Ad. Recovery
01,2023-02-21,2023-05-12,Adult
01,2023-04-04,2023-05-12,Ad. Recovery
01,2023-04-06,2023-05-12,Ad. Recovery
01,2023-03-07,2023-05-15,Juvenile
01,2023-05-08,2023-05-16,Ad. Recovery
01,2023-04-05,2023-05-16,Ad. Recovery
01,2023-05-06,2023-05-16,Ad. Recovery
01,2023-01-31,2023-05-17,Adult
01,2023-05-12,2023-05-24,Ad. Recovery
01,2023-04-07,2023-05-24,Ad. Recovery
01,2023-03-28,2023-05-24,Ad. Recovery
01,2023-05-12,2023-05-24,Ad. Recovery
01,2023-05-15,2023-05-24,Ad. Recovery
01,2023-05-12,2023-05-24,Ad. Recovery
01,2023-04-19,2023-05-24,Ad. Recovery
01,2023-03-31,2023-05-24,Ad. Recovery
01,2023-03-14,2023-05-24,Ad. Recovery
01,2023-04-13,2023-05-25,Ad. Recovery
01,2023-02-27,2023-05-25,Juvenile
01,2023-05-15,2023-05-26,Ad. Recovery
01,2023-03-21,2023-05-26,Juvenile
01,2023-04-05,2023-05-26,Juvenile
01,2023-05-09,2023-05-26,Ad. Recovery
01,2023-03-07,2023-05-26,Juvenile
01,2023-05-05,2023-05-26,Ad. Recovery
01,2023-03-07,2023-05-26,Adult
01,2023-04-25,2023-05-26,Juvenile
01,2023-03-21,2023-05-26,Ad. Recovery
01,2023-04-07,2023-05-30,Ad. Recovery
01,2023-03-14,2023-06-02,Juvenile
01,2023-03-06,2023-06-02,Adult
01,2023-04-12,2023-06-06,Ad. Recovery
01,2023-04-12,2023-06-07,Ad. Recovery
01,2023-04-12,2023-06-07,Ad. Recovery
01,2023-04-14,2023-06-08,Ad. Recovery
01,2023-04-25,2023-06-08,Ad. Recovery
01,2023-04-17,2023-06-08,Ad. Recovery
01,2023-04-18,2023-06-09,Ad. Recovery
01,2023-04-24,2023-06-12,Juvenile
01,2023-04-18,2023-06-12,Ad. Recovery
01,2023-05-16,2023-06-14,Ad. Recovery
01,2023-05-18,2023-06-14,Ad. Recovery
01,2023-05-12,2023-06-14,Ad. Recovery
01,2023-05-30,2023-06-14,Ad. Recovery
01,2023-03-10,2023-06-14,Ad. Recovery
01,2023-05-06,2023-06-14,Ad. Recovery
01,2023-05-16,2023-06-14,Ad. Recovery
01,2023-04-04,2023-06-14,Ad. Recovery
01,2023-02-08,2023-06-14,Ad. Recovery
01,2023-05-17,2023-06-14,Ad. Recovery
01,2023-05-02,2023-06-14,Ad. Recovery
01,2023-03-15,2023-06-14,Ad. Recovery
01,2023-05-01,2023-06-14,Ad. Recovery
01,2023-06-01,2023-06-14,Ad. Recovery
01,2023-05-16,2023-06-14,Ad. Recovery
01,2023-05-12,2023-06-14,Ad. Recovery
01,2023-04-26,2023-06-15,Ad. Recovery
01,2023-03-17,2023-06-15,Juvenile
01,2023-04-24,2023-06-15,Ad. Recovery
01,2023-02-28,2023-06-16,Juvenile
01,2023-06-06,2023-06-16,Ad. Recovery
01,2023-05-03,2023-06-20,Adult
01,2023-05-11,2023-06-21,Juvenile
01,2023-04-25,2023-06-26,Juvenile
01,2023-05-22,2023-06-26,Juvenile
01,2023-03-07,2023-06-27,Adult
01,2023-02-09,2023-06-27,Adult
01,2023-04-25,2023-06-27,Adult
01,2023-05-02,2023-06-27,Adult
01,2023-03-23,2023-06-27,Adult
01,2023-02-16,2023-06-27,Juvenile
01,2023-02-21,2023-06-27,Adult
01,2023-01-20,2023-06-27,Adult
01,2023-01-03,2023-06-27,Ad. Wellness
01,2023-01-26,2023-06-27,Adult
01,2023-05-23,2023-06-29,Ad. Recovery
01,2023-05-23,2023-06-29,Ad. Recovery
01,2023-05-30,2023-06-29,Juvenile
01,2023-06-01,2023-06-29,Ad. Recovery
01,2023-03-13,2023-06-29,Ad. Recovery
01,2023-04-26,2023-06-30,Juvenile
01,2023-05-15,2023-06-30,Juvenile
01,2023-04-24,2023-07-03,Juvenile
01,2023-04-26,2023-07-03,Juvenile
01,2023-05-30,2023-07-05,Ad. Recovery
01,2023-06-05,2023-07-05,Ad. Recovery
01,2023-06-09,2023-07-05,Ad. Recovery
01,2023-06-07,2023-07-05,Ad. Recovery
01,2023-04-12,2023-07-05,Ad. Recovery
01,2023-05-08,2023-07-05,Ad. Recovery
01,2023-05-18,2023-07-10,Ad. Recovery
01,2023-05-17,2023-07-10,Juvenile
01,2023-05-12,2023-07-10,Juvenile
01,2023-04-14,2023-07-11,Adult
01,2023-06-09,2023-07-11,Juvenile
