Diversion Case Type,Race or Ethnicity,No of Cases
Ad. Wellness,American Indian,2
Ad. Wellness,Asian or Pacific Islander,2
Ad. Wellness,Black or African American,4
Ad. Wellness,Hispanic,3
Ad. Wellness,Other,1
Ad. Wellness,White or Caucasian,65
