District,Diversion Case Type,Year,Not Successful,Open,Successful
18,Juvenile,2019,0,0,1
18,Juvenile,2020,1,0,1
18,Juvenile,2021,0,0,31
18,Juvenile,2022,29,1,202
18,Juvenile,2023,39,33,218
