Diversion Case Type,Race or Ethnicity,No of Cases
Ad. Recovery,American Indian,1
Ad. Recovery,Black or African American,5
Ad. Recovery,Hispanic,1
Ad. Recovery,Other,1
Ad. Recovery,White or Caucasian,93
