Quarter,Count,District
2019 Q2,1,18
2019 Q3,0,18
2019 Q4,0,18
2020 Q1,0,18
2020 Q2,0,18
2020 Q3,0,18
2020 Q4,2,18
2021 Q1,0,18
2021 Q2,2,18
2021 Q3,11,18
2021 Q4,18,18
2022 Q1,38,18
2022 Q2,41,18
2022 Q3,69,18
2022 Q4,84,18
2023 Q1,65,18
2023 Q2,65,18
2023 Q3,91,18
2023 Q4,66,18
2024 Q1,10,18
