district,Accepted Date,Successfully Completed Date,Diversion Case Type
18,2023-01-03,2023-01-03,Ad. Recovery
18,2023-01-09,2023-01-09,Ad. Recovery
18,2023-01-17,2023-01-17,Ad. Recovery
18,2022-01-26,2023-01-17,Ad. Recovery
18,2023-01-24,2023-01-24,Ad. Recovery
18,2023-01-25,2023-01-25,Ad. Recovery
18,2023-01-11,2023-01-26,Juvenile
18,2023-01-12,2023-01-26,Juvenile
18,2023-01-26,2023-01-26,Ad. Recovery
18,2023-01-18,2023-01-26,Juvenile
18,2023-01-18,2023-01-26,Juvenile
18,2023-01-17,2023-01-26,Juvenile
18,2023-01-17,2023-01-26,Juvenile
18,2023-01-18,2023-01-26,Juvenile
18,2023-01-17,2023-01-26,Juvenile
18,2023-01-11,2023-01-26,Juvenile
18,2023-01-30,2023-01-30,Ad. Recovery
18,2023-01-30,2023-01-30,Ad. Recovery
18,2023-01-30,2023-01-30,Ad. Recovery
18,2023-02-02,2023-02-02,Ad. Recovery
18,2023-02-06,2023-02-06,Ad. Recovery
18,2023-02-08,2023-02-08,Ad. Recovery
18,2023-02-27,2023-02-27,Ad. Recovery
18,2023-03-02,2023-03-02,Ad. Recovery
18,2023-03-07,2023-03-07,Ad. Recovery
18,2023-03-13,2023-03-13,Ad. Recovery
18,2023-03-13,2023-03-13,Ad. Recovery
18,2023-03-23,2023-03-23,Ad. Recovery
18,2023-01-26,2023-04-03,Adult
18,2023-04-04,2023-04-04,Ad. Recovery
18,2022-08-08,2023-04-12,Juvenile
18,2023-04-24,2023-04-24,Ad. Recovery
18,2023-04-25,2023-04-25,Ad. Recovery
18,2023-04-25,2023-04-25,Ad. Recovery
18,2023-04-27,2023-04-27,Ad. Recovery
18,2023-05-08,2023-05-08,Ad. Recovery
18,2023-01-03,2023-05-11,Juvenile
18,2023-01-05,2023-05-22,Adult
18,2023-01-10,2023-05-22,Juvenile
18,2023-02-09,2023-05-22,Juvenile
18,2023-01-10,2023-05-22,Juvenile
18,2023-01-05,2023-05-23,Juvenile
18,2023-01-09,2023-05-23,Adult
18,2023-01-23,2023-05-23,Adult
18,2023-02-16,2023-05-31,Ad. Recovery
18,2023-02-13,2023-06-05,Ad. Recovery
18,2023-02-28,2023-06-13,Adult
18,2023-01-23,2023-06-13,Ad. Recovery
18,2023-01-31,2023-06-13,Adult
18,2023-02-27,2023-06-14,Ad. Recovery
18,2023-01-12,2023-06-22,Ad. Recovery
18,2023-01-09,2023-06-22,Ad. Recovery
18,2023-04-17,2023-07-11,Juvenile
18,2023-03-28,2023-07-11,Adult
18,2023-03-02,2023-07-11,Juvenile
18,2023-01-17,2023-07-11,Juvenile
18,2023-01-19,2023-07-11,Adult
18,2023-03-06,2023-07-11,Juvenile
18,2023-03-09,2023-07-11,Juvenile
18,2023-03-30,2023-07-14,Juvenile
18,2023-06-13,2023-07-20,Ad. Recovery
18,2023-06-13,2023-07-20,Ad. Recovery
18,2023-01-17,2023-07-21,Juvenile
18,2023-02-09,2023-07-21,Juvenile
18,2023-07-19,2023-07-24,Ad. Recovery
18,2023-05-31,2023-07-25,Ad. Recovery
18,2023-04-19,2023-07-27,Ad. Recovery
18,2023-03-27,2023-08-01,Adult
18,2023-04-24,2023-08-01,Juvenile
18,2023-01-24,2023-08-01,Juvenile
18,2023-02-07,2023-08-01,Juvenile
18,2023-03-15,2023-08-01,Juvenile
18,2023-05-05,2023-08-02,Juvenile
18,2023-01-05,2023-08-02,Juvenile
18,2023-04-11,2023-08-02,Adult
18,2023-02-02,2023-08-02,Adult
18,2023-02-21,2023-08-10,Juvenile
18,2023-03-29,2023-08-24,Juvenile
18,2023-06-13,2023-08-24,Adult
18,2023-01-31,2023-08-24,Juvenile
18,2023-05-04,2023-08-28,Adult
18,2023-04-25,2023-08-28,Adult
18,2023-03-30,2023-08-28,Juvenile
18,2023-01-24,2023-08-28,Juvenile
18,2023-04-26,2023-08-28,Juvenile
18,2023-05-11,2023-08-28,Adult
18,2023-03-08,2023-08-28,Adult
18,2023-05-03,2023-08-28,Adult
18,2023-02-02,2023-08-28,Juvenile
18,2023-01-12,2023-08-28,Juvenile
18,2023-02-15,2023-08-28,Adult
18,2023-04-10,2023-08-28,Juvenile
18,2023-02-13,2023-08-28,Juvenile
18,2023-02-01,2023-08-29,Juvenile
18,2023-05-18,2023-08-30,Adult
18,2023-01-12,2023-08-31,Adult
18,2023-01-12,2023-08-31,Adult
18,2023-03-27,2023-09-05,Adult
18,2023-07-20,2023-09-11,Adult
18,2023-05-01,2023-09-11,Juvenile
18,2023-06-05,2023-09-20,Juvenile
18,2023-03-21,2023-09-20,Adult
18,2023-02-08,2023-09-20,Juvenile
18,2023-05-17,2023-09-20,Juvenile
18,2023-05-15,2023-09-20,Juvenile
18,2023-04-27,2023-09-20,Juvenile
18,2023-05-23,2023-09-20,Juvenile
18,2023-05-11,2023-09-20,Juvenile
18,2023-01-31,2023-09-20,Adult
18,2023-03-23,2023-09-20,Adult
18,2023-05-01,2023-09-26,Adult
18,2023-02-23,2023-09-26,Adult
18,2023-01-03,2023-09-26,Juvenile
18,2023-07-11,2023-09-27,Juvenile
18,2023-09-05,2023-10-04,Ad. Recovery
18,2023-04-14,2023-10-04,Juvenile
18,2023-05-23,2023-10-12,Juvenile
18,2023-05-04,2023-10-16,Juvenile
18,2023-02-16,2023-10-16,Ad. Recovery
18,2023-04-04,2023-10-16,Adult
18,2023-04-03,2023-10-16,Adult
18,2023-03-01,2023-10-16,Juvenile
18,2023-04-06,2023-10-16,Adult
18,2023-02-13,2023-10-17,Juvenile
18,2023-06-26,2023-10-17,Juvenile
18,2023-10-17,2023-10-17,Ad. Recovery
18,2023-04-04,2023-10-23,Juvenile
18,2023-02-08,2023-10-23,Juvenile
18,2023-03-14,2023-10-23,Juvenile
18,2023-04-11,2023-10-23,Juvenile
18,2023-03-13,2023-10-24,Juvenile
18,2023-08-28,2023-10-26,Ad. Recovery
18,2023-06-06,2023-10-26,Juvenile
18,2023-02-13,2023-10-26,Juvenile
18,2023-06-12,2023-10-26,Juvenile
18,2023-08-28,2023-10-26,Ad. Recovery
18,2023-05-18,2023-10-30,Adult
18,2023-04-26,2023-10-31,Juvenile
18,2023-03-09,2023-10-31,Adult
18,2023-05-03,2023-11-01,Juvenile
18,2023-05-17,2023-11-01,Juvenile
18,2023-08-01,2023-11-02,Juvenile
18,2023-08-01,2023-11-02,Juvenile
18,2023-06-20,2023-11-06,Adult
18,2023-03-29,2023-11-07,Juvenile
18,2023-05-01,2023-11-08,Adult
18,2023-08-02,2023-11-13,Juvenile
18,2023-02-28,2023-11-13,Juvenile
18,2023-09-19,2023-11-14,Ad. Recovery
18,2023-03-07,2023-11-16,Adult
18,2023-07-11,2023-11-20,Juvenile
18,2023-06-22,2023-11-20,Juvenile
18,2023-04-13,2023-11-20,Adult
18,2023-05-11,2023-11-20,Adult
18,2023-07-13,2023-11-20,Adult
18,2022-08-16,2023-11-21,Juvenile
18,2023-08-09,2023-11-21,Juvenile
18,2023-07-18,2023-11-21,Adult
18,2023-06-06,2023-11-21,Juvenile
18,2023-07-13,2023-11-21,Adult
18,2023-09-18,2023-11-27,Juvenile
18,2023-03-22,2023-11-27,Adult
18,2023-07-05,2023-11-28,Juvenile
18,2023-04-06,2023-11-28,Juvenile
18,2023-06-22,2023-11-28,Juvenile
18,2023-05-10,2023-11-28,Juvenile
18,2023-07-05,2023-11-28,Juvenile
