district,Accepted Date,Successfully Completed Date,Diversion Case Type
04,2021-09-01,2022-06-30,Juvenile
04,2022-04-07,2022-07-18,Juvenile
04,2021-10-18,2022-07-19,Juvenile
04,2022-01-05,2022-07-19,Juvenile
04,2021-11-04,2022-07-20,Juvenile
04,2021-12-22,2022-07-20,Juvenile
04,2022-04-08,2022-07-22,Juvenile
04,2021-04-16,2022-07-22,Juvenile
04,2022-04-11,2022-07-22,Juvenile
04,2022-06-03,2022-07-27,Juvenile
04,2022-01-18,2022-07-27,Juvenile
04,2021-12-06,2022-07-27,Juvenile
04,2022-04-11,2022-07-27,Juvenile
04,2022-03-28,2022-07-28,Juvenile
04,2022-05-02,2022-08-08,Juvenile
04,2022-01-25,2022-08-10,Juvenile
04,2022-05-02,2022-08-10,Juvenile
04,2021-11-02,2022-08-17,Juvenile
04,2022-01-14,2022-08-17,Juvenile
04,2022-01-26,2022-08-18,Juvenile
04,2022-04-05,2022-08-18,Juvenile
04,2022-05-23,2022-08-18,Juvenile
04,2022-06-09,2022-08-19,Juvenile
04,2022-05-09,2022-08-23,Juvenile
04,2021-11-10,2022-08-30,Juvenile
04,2022-03-25,2022-08-30,Juvenile
04,2022-07-27,2022-09-07,Juvenile
04,2022-02-14,2022-09-07,Juvenile
04,2022-06-16,2022-09-07,Juvenile
04,2022-02-23,2022-09-07,Juvenile
04,2021-11-23,2022-09-14,Juvenile
04,2022-03-16,2022-09-14,Juvenile
04,2022-04-14,2022-09-15,Juvenile
04,2022-03-15,2022-09-15,Juvenile
04,2022-06-06,2022-09-16,Juvenile
04,2022-06-21,2022-09-16,Juvenile
04,2022-06-21,2022-09-16,Juvenile
04,2022-04-11,2022-09-19,Juvenile
04,2022-04-04,2022-09-23,Juvenile
04,2022-03-07,2022-09-27,Juvenile
04,2022-03-17,2022-09-28,Juvenile
04,2021-12-20,2022-09-29,Juvenile
04,2022-05-17,2022-09-29,Juvenile
04,2022-02-22,2022-09-29,Juvenile
04,2021-11-24,2022-09-30,Juvenile
04,2022-06-22,2022-10-04,Juvenile
04,2021-09-21,2022-10-06,Juvenile
04,2022-06-10,2022-10-06,Juvenile
04,2022-04-12,2022-10-07,Juvenile
04,2021-10-08,2022-10-07,Juvenile
04,2021-04-05,2022-10-10,Juvenile
04,2022-06-27,2022-10-14,Juvenile
04,2021-11-08,2022-10-18,Juvenile
04,2022-06-15,2022-10-18,Juvenile
04,2022-04-11,2022-10-19,Juvenile
04,2022-05-03,2022-10-20,Juvenile
04,2022-07-21,2022-10-21,Juvenile
04,2022-05-10,2022-10-24,Juvenile
04,2021-11-29,2022-11-10,Juvenile
04,2022-04-28,2022-11-10,Juvenile
04,2021-11-29,2022-11-10,Juvenile
04,2021-12-10,2022-11-25,Juvenile
04,2022-05-25,2022-11-29,Juvenile
04,2022-07-11,2022-11-29,Juvenile
04,2021-12-10,2022-11-29,Juvenile
04,2021-09-24,2022-11-29,Juvenile
04,2022-07-25,2022-11-30,Juvenile
04,2021-11-22,2022-11-30,Juvenile
04,2021-10-25,2022-11-30,Juvenile
04,2021-11-08,2022-11-30,Juvenile
04,2022-06-30,2022-12-01,Juvenile
04,2022-06-03,2022-12-01,Juvenile
04,2022-07-12,2022-12-02,Juvenile
04,2022-04-06,2022-12-07,Juvenile
04,2021-11-10,2022-12-09,Juvenile
04,2022-06-28,2022-12-09,Juvenile
04,2021-11-17,2022-12-09,Juvenile
04,2021-12-13,2022-12-13,Juvenile
04,2021-08-13,2022-12-14,Juvenile
04,2021-11-02,2022-12-14,Juvenile
04,2021-11-02,2022-12-14,Juvenile
04,2022-07-18,2022-12-14,Juvenile
04,2022-06-06,2022-12-14,Juvenile
04,2021-11-30,2022-12-20,Juvenile
04,2021-11-30,2022-12-20,Juvenile
04,2022-06-02,2022-12-20,Juvenile
04,2022-03-28,2022-12-20,Juvenile
