Quarter,Count,District
2021 Q2,2,04
2021 Q3,8,04
2021 Q4,32,04
2022 Q1,33,04
2022 Q2,60,04
2022 Q3,50,04
2022 Q4,70,04
2023 Q1,101,04
2023 Q2,98,04
2023 Q3,72,04
2023 Q4,72,04
2024 Q1,4,04
