Diversion Case Type,Race or Ethnicity,Count
Juvenile,Asian or Pacific Islander,9
Juvenile,Black or African American,63
Juvenile,Native American or Alaska Native,2
Juvenile,Other,21
Juvenile,White or Caucasian,225
