Diversion Case Type,Race or Ethnicity,No of Cases
Juvenile,Asian or Pacific Islander,2
Juvenile,Black or African American,28
Juvenile,Native American or Alaska Native,2
Juvenile,Other,13
Juvenile,White or Caucasian,76
