District,Diversion Case Type,Year,Not Successful,Open,Successful
09,Juvenile,2019,0,0,10
09,Juvenile,2020,0,0,26
09,Juvenile,2021,0,0,12
09,Juvenile,2022,1,0,44
09,Juvenile,2023,3,1,57
