district,Accepted Date,Successfully Completed Date,Diversion Case Type
09,2023-04-18,2023-04-18,Juvenile
09,2023-01-10,2023-04-20,Juvenile
09,2023-01-03,2023-07-26,Juvenile
09,2023-04-03,2023-07-31,Juvenile
09,2023-04-11,2023-07-31,Juvenile
09,2023-05-02,2023-07-31,Juvenile
09,2023-04-12,2023-09-07,Juvenile
09,2023-03-15,2023-09-07,Juvenile
09,2023-04-12,2023-09-12,Juvenile
09,2023-05-03,2023-10-04,Juvenile
09,2023-03-13,2023-10-10,Juvenile
09,2023-04-12,2023-10-10,Juvenile
09,2023-05-09,2023-10-11,Juvenile
09,2023-05-02,2023-10-11,Juvenile
09,2023-05-02,2023-10-11,Juvenile
09,2023-04-12,2023-10-11,Juvenile
09,2023-05-16,2023-10-16,Juvenile
09,2023-05-02,2023-10-16,Juvenile
09,2023-03-13,2023-10-16,Juvenile
09,2023-08-01,2023-11-15,Juvenile
09,2023-08-17,2023-11-15,Juvenile
09,2023-04-20,2023-11-27,Juvenile
09,2023-07-12,2023-12-18,Juvenile
09,2023-10-04,2023-12-18,Juvenile
09,2023-10-23,2023-12-19,Juvenile
09,2023-06-05,2023-12-20,Juvenile
09,2023-04-24,2024-01-24,Juvenile
09,2023-04-11,2024-01-27,Juvenile
09,2023-10-23,2024-01-27,Juvenile
09,2023-08-17,2024-01-27,Juvenile
09,2023-08-16,2024-01-27,Juvenile
09,2023-11-20,2024-01-27,Juvenile
09,2023-03-07,2024-01-27,Juvenile
09,2023-08-01,2024-01-27,Juvenile
09,2023-03-20,2024-01-27,Juvenile
09,2023-05-05,2024-01-27,Adult
09,2023-09-18,2024-01-27,Juvenile
09,2023-07-18,2024-01-27,Juvenile
09,2023-08-17,2024-01-29,Juvenile
09,2023-01-24,2024-01-29,Juvenile
09,2023-06-12,2024-01-29,Juvenile
09,2023-04-24,2024-01-29,Juvenile
09,2023-06-08,2024-02-12,Juvenile
09,2023-10-16,2024-02-19,Juvenile
09,2023-12-20,2024-02-19,Juvenile
09,2023-10-31,2024-03-05,Juvenile
09,2023-07-19,2024-03-05,Juvenile
09,2023-11-17,2024-03-21,Juvenile
09,2023-08-17,2024-04-10,Juvenile
09,2023-10-18,2024-05-17,Juvenile
09,2023-12-06,2024-05-17,Juvenile
09,2023-10-16,2024-05-17,Juvenile
09,2023-12-04,2024-05-17,Juvenile
09,2023-12-07,2024-05-17,Juvenile
09,2023-10-12,2024-05-17,Juvenile
09,2023-12-08,2024-05-17,Juvenile
09,2023-11-29,2024-05-21,Juvenile
09,2023-12-26,2024-05-21,Juvenile
09,2023-12-12,2024-06-26,Juvenile
