Quarter,Count,District
2020 Q3,9,10
2020 Q4,1,10
2021 Q1,7,10
2021 Q2,1,10
2021 Q3,1,10
2021 Q4,5,10
2022 Q1,3,10
2022 Q2,5,10
2022 Q3,7,10
2022 Q4,3,10
2023 Q1,13,10
2023 Q2,0,10
2023 Q3,6,10
2023 Q4,16,10
2024 Q1,2,10
