district,Accepted Date,Successfully Completed Date,Diversion Case Type
10,2023-02-14,2023-02-14,Juvenile
10,2023-02-28,2023-02-28,Juvenile
10,2023-03-09,2023-03-22,Juvenile
10,2023-01-23,2023-03-31,Juvenile
10,2023-01-13,2023-04-24,Juvenile
10,2023-01-19,2023-05-02,Juvenile
10,2023-01-04,2023-05-11,Juvenile
10,2023-03-27,2023-07-14,Juvenile
10,2023-01-25,2023-07-28,Juvenile
10,2023-03-20,2023-08-09,Juvenile
10,2023-02-23,2023-08-21,Juvenile
10,2023-07-13,2023-08-22,Juvenile
10,2023-03-21,2023-08-23,Juvenile
10,2023-07-10,2023-10-12,Juvenile
10,2023-07-25,2023-10-12,Juvenile
10,2023-10-16,2023-10-30,Juvenile
10,2023-08-18,2023-10-31,Juvenile
10,2023-08-31,2023-11-01,Juvenile
10,2023-10-11,2023-11-02,Juvenile
10,2023-10-16,2023-11-06,Juvenile
10,2023-10-16,2023-11-16,Juvenile
10,2023-10-16,2023-11-20,Juvenile
10,2023-10-16,2023-12-04,Juvenile
10,2023-09-08,2023-12-05,Juvenile
10,2023-11-17,2023-12-14,Juvenile
10,2023-10-11,2023-12-15,Juvenile
10,2023-11-08,2023-12-19,Juvenile
10,2023-10-20,2024-01-17,Juvenile
10,2023-10-27,2024-01-25,Juvenile
10,2023-10-30,2024-01-25,Juvenile
10,2023-11-17,2024-02-05,Juvenile
10,2023-11-02,2024-02-07,Juvenile
10,2023-12-15,2024-03-15,Juvenile
10,2023-11-17,2024-05-10,Juvenile
