district,Accepted Date,Successfully Completed Date,Diversion Case Type
13,2022-06-17,2023-06-12,Juvenile
13,2022-10-25,2023-06-12,Juvenile
13,2023-02-24,2023-06-12,Juvenile
13,2022-12-21,2023-06-12,Juvenile
13,2022-12-01,2023-06-12,Juvenile
13,2023-01-16,2023-06-12,Juvenile
13,2022-03-24,2023-06-12,Juvenile
13,2022-10-11,2023-06-12,Juvenile
13,2022-08-11,2023-06-12,Juvenile
13,2022-08-11,2023-06-12,Juvenile
13,2022-06-17,2023-06-12,Juvenile
13,2022-10-25,2023-06-12,Juvenile
13,2023-02-24,2023-06-12,Juvenile
13,2022-12-21,2023-06-12,Juvenile
13,2022-12-01,2023-06-12,Juvenile
13,2023-01-16,2023-06-12,Juvenile
13,2022-03-04,2023-06-12,Juvenile
13,2022-03-24,2023-06-12,Juvenile
13,2022-10-11,2023-06-12,Juvenile
13,2022-08-11,2023-06-12,Juvenile
13,2022-08-11,2023-06-12,Juvenile
13,2022-03-04,2023-06-12,Juvenile
13,2023-03-22,2023-08-07,Juvenile
13,2023-03-22,2023-08-07,Juvenile
13,2023-06-20,2023-09-25,Juvenile
13,2023-03-21,2023-09-25,Juvenile
13,2023-04-07,2023-09-25,Juvenile
13,2023-04-07,2023-09-25,Juvenile
13,2023-04-11,2023-09-25,Juvenile
13,2023-04-07,2023-09-25,Juvenile
13,2023-06-20,2023-09-25,Juvenile
13,2023-04-11,2023-09-25,Juvenile
13,2023-03-21,2023-09-25,Juvenile
13,2023-04-07,2023-09-25,Juvenile
13,2023-05-05,2023-10-27,Juvenile
13,2023-05-05,2023-10-27,Juvenile
13,2023-06-20,2023-12-05,Juvenile
13,2023-06-20,2023-12-05,Juvenile
