Quarter,Count,District
2020 Q1,1,12
2020 Q2,1,12
2020 Q3,3,12
2020 Q4,0,12
2021 Q1,1,12
2021 Q2,0,12
2021 Q3,0,12
2021 Q4,1,12
2022 Q1,0,12
2022 Q2,0,12
2022 Q3,0,12
2022 Q4,2,12
2023 Q1,9,12
2023 Q2,13,12
2023 Q3,14,12
2023 Q4,5,12
