Quarter,Count,District
2020 Q3,45,05
2020 Q4,14,05
2021 Q1,10,05
2021 Q2,10,05
2021 Q3,6,05
2021 Q4,6,05
2022 Q1,12,05
2022 Q2,44,05
2022 Q3,17,05
2022 Q4,25,05
2023 Q1,14,05
2023 Q2,12,05
2023 Q3,28,05
2023 Q4,32,05
