District,Diversion Case Type,Year,Not Successful,Open,Successful
17,Juvenile,2019,2,0,29
17,Juvenile,2020,5,0,68
17,Juvenile,2021,1,0,55
17,Juvenile,2022,10,1,70
17,Juvenile,2023,4,9,88
