district,Accepted Date,Successfully Completed Date,Diversion Case Type
17,2022-07-18,2023-04-10,Juvenile
17,2022-08-16,2023-04-10,Juvenile
17,2023-01-04,2023-06-21,Juvenile
17,2023-01-26,2023-07-10,Juvenile
17,2023-01-05,2023-07-11,Juvenile
17,2023-12-29,2023-07-11,Juvenile
17,2023-03-23,2023-07-11,Juvenile
17,2023-02-15,2023-07-11,Juvenile
17,2022-08-16,2023-07-11,Juvenile
17,2023-01-30,2023-07-11,Juvenile
17,2023-02-09,2023-07-11,Juvenile
17,2023-01-12,2023-07-11,Juvenile
17,2023-02-21,2023-07-11,Juvenile
17,2023-02-13,2023-07-11,Juvenile
17,2022-12-23,2023-07-11,Juvenile
17,2022-10-04,2023-07-11,Juvenile
17,2022-09-01,2023-07-12,Juvenile
17,2022-07-12,2023-07-12,Juvenile
17,2022-08-17,2023-07-12,Juvenile
17,2022-12-28,2023-07-12,Juvenile
17,2022-07-19,2023-07-13,Juvenile
17,2023-02-28,2023-07-31,Juvenile
17,2023-03-16,2023-07-31,Juvenile
17,2023-02-13,2023-08-01,Juvenile
17,2023-02-01,2023-08-01,Juvenile
17,2023-04-20,2023-08-01,Juvenile
17,2022-08-04,2023-08-07,Juvenile
17,2022-09-08,2023-08-14,Juvenile
17,2022-09-08,2023-08-14,Juvenile
17,2023-01-24,2023-08-14,Juvenile
17,2023-05-04,2023-08-16,Juvenile
17,2023-03-28,2023-10-16,Juvenile
17,2023-04-13,2023-12-11,Juvenile
17,2023-01-17,2023-12-11,Juvenile
17,2022-10-24,2023-12-11,Juvenile
17,2023-01-20,2023-12-11,Juvenile
17,2023-05-01,2023-12-11,Juvenile
17,2023-08-17,2023-12-11,Juvenile
17,2023-01-24,2023-12-11,Juvenile
17,2023-05-18,2023-12-11,Juvenile
17,2023-04-04,2023-12-12,Juvenile
17,2023-02-15,2023-12-12,Juvenile
17,2023-05-11,2023-12-12,Juvenile
17,2023-04-03,2023-12-12,Juvenile
17,2023-01-23,2023-12-12,Juvenile
17,2023-04-04,2023-12-12,Juvenile
17,2023-04-04,2023-12-12,Juvenile
17,2023-04-10,2023-12-12,Juvenile
17,2023-11-01,2024-01-09,Juvenile
17,2023-06-07,2024-01-16,Juvenile
17,2023-07-25,2024-01-16,Juvenile
17,2023-08-29,2024-01-19,Juvenile
17,2023-07-24,2024-01-22,Juvenile
17,2023-06-12,2024-01-22,Juvenile
17,2023-05-11,2024-01-23,Juvenile
17,2023-05-16,2024-01-23,Juvenile
17,2023-09-05,2024-01-25,Juvenile
17,2023-10-24,2024-01-25,Juvenile
17,2023-11-06,2024-02-14,Juvenile
17,2023-11-27,2024-02-26,Juvenile
17,2023-11-28,2024-02-29,Juvenile
17,2023-10-11,2024-03-06,Juvenile
17,2023-10-26,2024-03-06,Juvenile
17,2023-03-27,2024-03-06,Juvenile
17,2023-03-21,2024-03-06,Juvenile
17,2023-07-17,2024-03-06,Juvenile
17,2023-10-19,2024-03-07,Juvenile
17,2023-12-18,2024-03-11,Juvenile
17,2023-10-17,2024-03-11,Juvenile
17,2023-07-10,2024-03-13,Juvenile
17,2023-12-21,2024-03-18,Juvenile
17,2023-12-04,2024-03-18,Juvenile
17,2023-03-20,2024-03-19,Juvenile
17,2023-03-14,2024-03-19,Juvenile
17,2023-08-23,2024-03-19,Juvenile
17,2023-04-05,2024-03-19,Juvenile
17,2023-06-21,2024-03-25,Juvenile
17,2023-11-07,2024-03-28,Juvenile
17,2023-09-21,2024-03-28,Juvenile
17,2023-11-30,2024-03-28,Juvenile
