District,Diversion Case Type,Year,Not Successful,Open,Successful
07,Juvenile,2001,0,0,1
07,Juvenile,2020,9,0,43
07,Juvenile,2021,9,0,84
07,Juvenile,2022,15,1,71
07,Juvenile,2023,10,10,73
