district,Accepted Date,Successfully Completed Date,Diversion Case Type
08,2021-10-27,2021-12-09,Juvenile
08,2022-02-17,2022-06-25,Juvenile
08,2022-03-14,2022-07-01,Juvenile
08,2022-05-25,2022-08-11,Juvenile
08,2021-10-25,2022-08-24,Juvenile
08,2022-05-26,2022-09-12,Juvenile
08,2022-05-06,2022-09-22,Juvenile
08,2022-06-21,2022-09-26,Juvenile
08,2022-04-26,2022-10-03,Juvenile
08,2022-03-10,2022-10-05,Juvenile
08,2022-06-06,2022-10-25,Juvenile
08,2022-06-14,2022-11-01,Juvenile
08,2022-06-21,2022-11-02,Juvenile
08,2022-03-18,2022-11-07,Juvenile
08,2022-03-18,2022-11-07,Juvenile
08,2022-03-10,2022-11-28,Juvenile
08,2022-05-17,2022-12-07,Juvenile
08,2022-05-12,2022-12-15,Juvenile
08,2022-04-26,2022-12-15,Juvenile
08,2022-06-16,2022-12-15,Juvenile
08,2022-06-13,2022-12-20,Juvenile
08,2022-06-27,2022-12-20,Juvenile
08,2022-06-22,2022-12-20,Juvenile
08,2021-01-22,2023-01-13,Juvenile
08,2022-03-29,2023-01-27,Juvenile
08,2023-01-03,2023-02-14,Juvenile
08,2022-03-11,2023-03-03,Juvenile
08,2022-12-08,2023-03-06,Juvenile
08,2022-01-28,2023-03-08,Juvenile
08,2022-01-28,2023-03-08,Juvenile
08,2022-03-02,2023-03-10,Juvenile
08,2022-02-09,2023-03-10,Juvenile
08,2022-03-30,2023-03-10,Juvenile
08,2022-03-02,2023-03-10,Juvenile
08,2022-03-28,2023-03-10,Juvenile
08,2022-06-01,2023-03-10,Juvenile
08,2022-02-11,2023-03-10,Juvenile
08,2023-01-31,2023-03-10,Juvenile
08,2022-02-28,2023-03-14,Juvenile
08,2022-12-05,2023-03-14,Juvenile
08,2023-01-13,2023-03-17,Juvenile
08,2022-05-20,2023-03-20,Juvenile
08,2023-01-13,2023-03-22,Juvenile
08,2022-12-08,2023-03-22,Juvenile
08,2022-12-14,2023-03-23,Juvenile
08,2022-06-01,2023-04-27,Juvenile
08,2023-04-26,2023-04-27,Juvenile
08,2023-04-28,2023-04-28,Juvenile
08,2023-03-21,2023-04-28,Juvenile
08,2022-12-05,2023-05-09,Juvenile
08,2022-11-28,2023-05-10,Juvenile
08,2020-09-11,2023-05-16,Juvenile
08,2020-11-04,2023-05-16,Juvenile
08,2020-05-13,2023-05-16,Juvenile
08,2020-02-28,2023-05-16,Juvenile
08,2020-04-03,2023-05-16,Juvenile
08,2021-10-21,2023-05-16,Juvenile
08,2020-09-22,2023-05-16,Juvenile
08,2020-10-23,2023-05-16,Juvenile
08,2023-05-16,2023-05-16,Juvenile
08,2020-04-07,2023-05-16,Juvenile
08,2020-11-23,2023-05-16,Juvenile
08,2020-06-26,2023-05-16,Juvenile
08,2020-12-11,2023-05-16,Juvenile
08,2020-07-14,2023-05-16,Juvenile
08,2020-11-04,2023-05-16,Juvenile
08,2021-10-12,2023-05-16,Juvenile
08,2020-09-21,2023-05-16,Juvenile
08,2020-03-12,2023-05-16,Juvenile
08,2020-10-21,2023-05-16,Juvenile
08,2020-10-12,2023-05-16,Juvenile
08,2021-09-29,2023-05-16,Juvenile
08,2020-09-22,2023-05-16,Juvenile
08,2021-10-25,2023-05-16,Juvenile
08,2020-10-06,2023-05-16,Juvenile
08,2021-11-12,2023-05-16,Juvenile
08,2020-09-22,2023-05-16,Juvenile
08,2021-01-13,2023-05-16,Juvenile
08,2021-01-11,2023-05-16,Juvenile
08,2022-11-30,2023-05-17,Juvenile
08,2023-01-26,2023-05-17,Juvenile
08,2022-11-14,2023-05-19,Juvenile
08,2023-01-23,2023-05-19,Juvenile
08,2023-01-20,2023-05-19,Juvenile
