District,Diversion Case Type,Year,Not Successful,Open,Successful
08,Juvenile,2002,0,0,1
08,Juvenile,2020,2,0,115
08,Juvenile,2021,1,0,12
08,Juvenile,2022,13,2,138
08,Juvenile,2023,17,48,114
