district,Accepted Date,Successfully Completed Date,Diversion Case Type
22,2022-06-09,2022-10-25,Juvenile
22,2022-07-06,2022-10-25,Juvenile
22,2022-01-24,2022-10-25,Juvenile
22,2022-06-09,2022-10-25,Juvenile
22,2022-06-09,2022-10-25,Juvenile
22,2022-06-22,2022-10-25,Juvenile
22,2022-06-15,2022-10-25,Juvenile
22,2022-04-07,2022-10-25,Juvenile
22,2022-11-14,2023-07-27,Juvenile
22,2022-10-05,2023-07-27,Juvenile
22,2022-07-08,2023-07-27,Juvenile
22,2022-12-05,2023-07-27,Juvenile
22,2023-04-17,2023-07-27,Juvenile
22,2022-11-07,2023-07-27,Juvenile
22,2022-05-09,2023-07-27,Juvenile
22,2022-12-14,2023-07-27,Juvenile
22,2022-10-12,2023-07-27,Juvenile
22,2022-12-16,2023-07-27,Juvenile
22,2023-04-19,2023-07-27,Juvenile
22,2022-12-22,2023-07-27,Juvenile
22,2022-05-26,2023-07-27,Juvenile
22,2023-01-25,2023-07-27,Juvenile
22,2022-11-07,2023-07-27,Juvenile
22,2023-02-27,2023-07-27,Juvenile
22,2022-11-07,2023-07-27,Juvenile
22,2022-11-07,2023-07-27,Juvenile
22,2022-10-10,2023-07-27,Juvenile
22,2022-11-07,2023-07-27,Juvenile
22,2022-10-12,2023-07-27,Juvenile
22,2022-11-08,2023-07-27,Juvenile
22,2023-03-15,2024-02-13,Juvenile
22,2023-05-17,2024-05-06,Juvenile
22,2023-01-25,2024-05-06,Juvenile
22,2022-10-10,2024-05-06,Juvenile
22,2023-02-28,2024-05-06,Juvenile
22,2022-09-26,2024-05-06,Juvenile
22,2023-05-10,2024-05-06,Juvenile
22,2023-01-24,2024-05-06,Juvenile
22,2023-02-28,2024-05-06,Juvenile
22,2023-04-27,2024-05-06,Juvenile
