Quarter,Count,District
2020 Q3,5,15
2020 Q4,7,15
2021 Q1,1,15
2021 Q2,1,15
2021 Q3,5,15
2021 Q4,4,15
2022 Q1,1,15
2022 Q2,0,15
2022 Q3,3,15
2022 Q4,7,15
2023 Q1,7,15
2023 Q2,3,15
2023 Q3,6,15
2023 Q4,5,15
