Quarter,Count,District
2020 Q1,1,19
2020 Q2,1,19
2020 Q3,43,19
2020 Q4,22,19
2021 Q1,16,19
2021 Q2,23,19
2021 Q3,33,19
2021 Q4,40,19
2022 Q1,30,19
2022 Q2,49,19
2022 Q3,29,19
2022 Q4,44,19
2023 Q1,33,19
2023 Q2,22,19
2023 Q3,31,19
2023 Q4,27,19
