Quarter,Count,District
2019 Q2,1,11
2019 Q3,0,11
2019 Q4,0,11
2020 Q1,0,11
2020 Q2,0,11
2020 Q3,6,11
2020 Q4,5,11
2021 Q1,1,11
2021 Q2,9,11
2021 Q3,3,11
2021 Q4,18,11
2022 Q1,6,11
2022 Q2,7,11
2022 Q3,11,11
2022 Q4,17,11
2023 Q1,13,11
2023 Q2,18,11
2023 Q3,17,11
2023 Q4,12,11
2024 Q1,2,11
