Quarter,Count,District
2020 Q1,40,08
2020 Q2,20,08
2020 Q3,45,08
2020 Q4,12,08
2021 Q1,4,08
2021 Q2,0,08
2021 Q3,2,08
2021 Q4,7,08
2022 Q1,20,08
2022 Q2,28,08
2022 Q3,38,08
2022 Q4,67,08
2023 Q1,51,08
2023 Q2,46,08
2023 Q3,25,08
2023 Q4,51,08
