district,Accepted Date,Successfully Completed Date,Diversion Case Type
03,2022-11-17,2023-04-06,Adult
03,2023-01-31,2023-07-11,Juvenile
03,2023-02-28,2023-07-27,Juvenile
03,2023-03-02,2023-07-27,Juvenile
03,2023-02-28,2023-07-31,Juvenile
03,2022-11-17,2023-08-17,Adult
03,2023-08-08,2023-09-08,Juvenile
03,2023-02-27,2023-09-15,Juvenile
03,2023-02-07,2023-09-19,Adult
03,2022-12-22,2023-10-11,Juvenile
03,2023-02-23,2023-10-24,Adult
03,2023-05-22,2023-10-25,Juvenile
03,2023-06-15,2023-10-27,Juvenile
03,2023-05-09,2023-12-04,Juvenile
03,2023-07-10,2024-02-06,Juvenile
03,2023-06-23,2024-03-29,Adult
03,2023-02-21,2024-03-29,Adult
03,2023-10-05,2024-03-29,Juvenile
03,2023-12-15,2024-05-16,Juvenile
03,2023-10-20,2024-05-16,Juvenile
03,2023-08-31,2024-05-17,Juvenile
03,2023-10-31,2024-05-17,Juvenile
03,2023-02-28,2024-05-20,Adult
