District,Diversion Case Type,Year,Hispanic Successful,White or Caucasian Not Successful,White or Caucasian Successful,Black or African American Total,Hispanic Total,White or Caucasian Total,Percent of Black or African American defendants deferred,Percent of Hispanic defendants deferred,Percent of White or Caucasian defendants deferred
03,Adult,2022,0.0,0.0,3.0,0,0.0,3.0,0,0,0
03,Adult,2023,0.0,2.0,5.0,0,0.0,7.0,0,0,0
